Company,Positive,Negative,Neutral,Total,Positive_Percentage,Avg_Sentiment_Score,Rank
Alta_Pizza,450,40,0,490,91.83673469387756,0.984104894861883,1
Amoretto_Italian_Restaurant,420,70,0,490,85.71428571428571,0.9964744302691245,2
Angelo_&_Vito's_Pizzeria,400,90,0,490,81.63265306122449,0.9706616340851297,3
i_Fratelli_Pizza_Plano_West,390,100,0,490,79.59183673469387,0.9636226892471313,4
SauceBros_Pizza,380,120,0,500,76.0,0.9868311500549316,5
Mr._Jim's_Pizza,30,10,0,40,75.0,0.9987551420927048,6
Alfredo's_Pizzeria,360,130,1,491,73.31975560081466,0.9749748093775965,7
Mama's_Pizza,340,160,0,500,68.0,0.9600328242778778,8
Papa_Murphy's,200,110,0,310,64.51612903225806,0.9691380819966716,9
Zio_Al's_Pizza_And_Pasta,270,220,0,490,55.10204081632652,0.9850932116411171,10
Pizza_Hut,130,320,0,450,28.888888888888886,0.9810827400949266,11
