Rank,Company,Positive %,Positive,Negative,Neutral,Total
1,Pita_Shawarma,92.2,470,40,0,510
2,Lily's_Cafe,88.2,450,60,0,510
3,Hadramout_restaurant,85.7,360,60,0,420
4,Little_Hunan,85.7,420,70,0,490
5,Amoretto_Italian_Restaurant,85.7,420,70,0,490
6,Fiery_Nashville_Hot_Chicken_-_Plano,80.8,420,100,0,520
7,bb.q_Chicken_Plano,79.6,430,110,0,540
8,Spring_Creek_Sichuan_Folk,78.4,400,110,0,510
9,SauceBros_with_ratings,76.0,380,120,0,500
10,Bavarian_Grill,71.4,350,140,0,490
11,Dumpling_House,68.0,340,160,0,500
